county_name,total_population,percent_under_18,median_household_income,poverty_rate,unemployment_rate,broadband_internet_rate,GEOID,county_clean,state_name,target_population_indicator,economic_barrier_indicator,employment_barrier_indicator,income_barrier_indicator,digital_access_barrier_indicator,market_outreach_opportunity_score,opportunity_category,population_size_category
"Oglala Lakota County, South Dakota",13491.0,35.4,41417.0,57.6,16.4,70.2,46102,Oglala Lakota County,South Dakota,0.9974546611517658,1.0,0.9961819917276488,0.9700922685332485,0.9826598790964047,98.92777601018136,High opportunity for deeper review,Small county
"Todd County, South Dakota",9244.0,38.8,42075.0,48.4,18.7,75.2,46121,Todd County,South Dakota,0.9990454979319122,0.9996818326439707,0.9980909958638243,0.962456251988546,0.9525930639516386,98.23735284759782,High opportunity for deeper review,Small county
"Leflore County, Mississippi",27141.0,27.3,35277.0,31.5,11.6,69.3,28083,Leflore County,Mississippi,0.9486159720012727,0.9847279669105949,0.9847279669105949,0.9910913140311804,0.9852052179446389,97.88736875596564,High opportunity for deeper review,Small county
"Buffalo County, South Dakota",1808.0,39.2,47045.0,33.9,10.8,68.7,46017,Buffalo County,South Dakota,0.9993636652879414,0.9931594018453707,0.9796372892141266,0.9204581609926822,0.9879096404708877,97.61056315622018,High opportunity for deeper review,Small county
"Jackson County, South Dakota",2802.0,32.9,35417.0,42.4,7.2,62.7,46071,Jackson County,South Dakota,0.9922048997772829,0.9987273305758829,0.8919821826280624,0.9904549793191219,0.9971364937957365,97.41011772192174,High opportunity for deeper review,Small county
"Starr County, Texas",66067.0,32.5,37639.0,33.5,10.4,78.6,48427,Starr County,Texas,0.9910913140311804,0.9925230671333122,0.9766146993318485,0.9844097995545658,0.9051861279032771,96.99650015908368,High opportunity for deeper review,Medium county
"Apache County, Arizona",65341.0,26.0,41438.0,30.5,10.7,60.0,4001,Apache County,Arizona,0.9167992363983455,0.9809099586382437,0.9785237034680242,0.9697741011772192,0.9984091632198536,96.88832325803372,High opportunity for deeper review,Medium county
"Humphreys County, Mississippi",7395.0,25.2,33731.0,27.0,12.5,65.3,28053,Humphreys County,Mississippi,0.8736875596563792,0.9661151765828826,0.9891823098950048,0.9936366528794146,0.9926821508113267,96.30607699650015,High opportunity for deeper review,Small county
"Sioux County, North Dakota",3740.0,34.0,42083.0,43.3,17.0,80.6,38085,Sioux County,North Dakota,0.9949093223035317,0.9990454979319122,0.9974546611517658,0.9621380846325167,0.8596881959910914,96.26471524021636,High opportunity for deeper review,Small county
"Tunica County, Mississippi",9475.0,27.7,39364.0,31.1,13.3,78.7,28143,Tunica County,Mississippi,0.9538657333757556,0.9831371301304486,0.9922048997772829,0.9793191218580973,0.9032771237671015,96.23608017817371,High opportunity for deeper review,Small county
"Dimmit County, Texas",8380.0,26.0,38808.0,41.1,8.4,73.9,48127,Dimmit County,Texas,0.9167992363983455,0.9980909958638243,0.9389118676423799,0.9818644607063315,0.965478841870824,96.0229080496341,High opportunity for deeper review,Small county
"McKinley County, New Mexico",70431.0,27.1,47668.0,33.2,9.0,64.8,35031,McKinley County,New Mexico,0.9452752147629653,0.9907731466751512,0.9513203945275215,0.9169583200763601,0.9933184855233853,95.95291123130767,High opportunity for deeper review,Medium county
"Coahoma County, Mississippi",20540.0,27.0,37461.0,35.5,9.9,79.0,28027,Coahoma County,Mississippi,0.9433662106267897,0.9949093223035317,0.9700922685332485,0.9856824689786828,0.8965956092904868,95.81291759465479,High opportunity for deeper review,Small county
"Holmes County, Mississippi",16191.0,24.5,32538.0,36.4,9.5,68.2,28051,Holmes County,Mississippi,0.8227807826916959,0.9955456570155902,0.9634107540566338,0.9955456570155902,0.9888641425389755,95.32293986636971,High opportunity for deeper review,Small county
"Phillips County, Arkansas",15450.0,26.2,40134.0,29.3,14.5,79.3,5107,Phillips County,Arkansas,0.9230034998409163,0.9769328666878778,0.9945911549475024,0.9751829462297168,0.8911867642379891,95.21794463888007,High opportunity for deeper review,Small county
"Zapata County, Texas",13841.0,31.6,39239.0,38.4,7.3,79.4,48505,Zapata County,Texas,0.9883868915049316,0.9968183264397072,0.8978682787146038,0.9805917912822144,0.8891186764237989,95.05567928730511,High opportunity for deeper review,Small county
"Bennett County, South Dakota",3345.0,35.1,53750.0,29.9,10.0,65.2,46007,Bennett County,South Dakota,0.9965001590836781,0.9788418708240535,0.9721603563474388,0.8098950047725103,0.993000318167356,95.00795418390074,High opportunity for deeper review,Small county
"Noxubee County, Mississippi",10025.0,25.1,33833.0,26.3,8.6,69.8,28103,Noxubee County,Mississippi,0.8657333757556475,0.9621380846325167,0.9430480432707604,0.993000318167356,0.9837734648425072,94.95386573337574,High opportunity for deeper review,Small county
"Randolph County, Georgia",6196.0,27.0,28380.0,30.0,10.9,81.5,13243,Randolph County,Georgia,0.9433662106267897,0.979478205536112,0.981228125994273,0.9993636652879414,0.8324848870505887,94.7184218899141,High opportunity for deeper review,Small county
"Duval County, Texas",9742.0,25.2,49038.0,33.3,11.0,68.9,48131,Duval County,Texas,0.8736875596563792,0.9917276487432389,0.9823417117403754,0.8991409481387209,0.9871142220808146,94.68024180719057,High opportunity for deeper review,Small county
